Paper ID,Publishable,Conference,Rationale
P012,1,NeurIPS,"This paper investigates the discrepancy between two prominent studies on the scaling laws of large language models (LLMs), Kaplan et al. (2020) and Hoffmann et al. (2022), which proposed different optimal scaling relationships between model parameters, training tokens, and computational resources.  The paper provides a thorough analytical and experimental investigation, identifying the primary reasons for the discrepancy and proposing improvements for future scaling studies.  This aligns well with NeurIPS' focus on theoretical and empirical contributions to machine learning, particularly in deep learning and large-scale models.  Similar work published in NeurIPS includes papers such as ""On the Opportunities and Risks of Foundation Models"" which addresses the scaling and societal impact of LLMs, or ""Scaling Laws for Neural Language Models"" that focuses on scaling laws directly.  The depth of analysis and focus on fundamental scaling laws make this paper suitable for NeurIPS."
P013,1,EMNLP,"The paper focuses on explaining the decisions of deep neural networks in the language domain, a key area in NLP research.  The experiments involve training a CNN text classifier and applying a method (PatternAttribution) to interpret its decisions.  This aligns well with EMNLP's focus on natural language processing,  as demonstrated by papers like ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"" which also deals with interpreting neural network decisions in NLP tasks. While the methodology builds upon work from the vision domain, the core contribution and application are firmly rooted in NLP.  The paper's focus on explanation methods and model interpretability further strengthens its suitability for EMNLP."
P014,1,CVPR,"The paper focuses on advancements in audio-visual active speaker detection using a novel 3D CNN and LSTM/temporal convolution approach.  This aligns perfectly with CVPR's scope, which encompasses computer vision and pattern recognition, as evidenced by papers like ""Detailed Action Identification in Baseball Game Recordings,"" which similarly employs CNNs for video analysis and action recognition.  The paper's quantitative results and analysis of a large dataset further strengthen its suitability for CVPR.  Other conferences are less relevant as the core contribution is in computer vision and not directly in natural language processing (EMNLP), knowledge discovery (KDD), or broader machine learning (NeurIPS, TMLR)."
P015,1,CVPR,"The paper focuses on trajectory forecasting and 3D perception for autonomous driving, aligning with CVPR's scope which includes computer vision and related topics like ""Detailed Action Identification in Baseball Game Recordings"".  The quantitative evaluation metrics and detailed methodology descriptions meet CVPR's standards for technical rigor, similar to research presented in papers such as ""Advancements in 3D Food Modeling: A Review of the MetaFood Challenge Techniques and Outcomes"". The large-scale dataset and competition results further strengthen its suitability for CVPR.  NeurIPS might be considered if the paper heavily focused on the theoretical underpinnings of novel algorithms used for prediction or perception; however, the emphasis on the empirical results makes CVPR a better fit.  EMNLP, KDD, and TMLR are less relevant due to the lack of natural language processing, data mining, and machine learning theory emphasis."
P016,0,,"The paper's interdisciplinary nature, combining Bayesian theology, astrobiology, philosophy, and diplomacy, doesn't align with the scope of any of the listed conferences.  CVPR focuses on computer vision and pattern recognition; EMNLP on natural language processing; KDD on knowledge discovery and data mining; NeurIPS on neural information processing systems; and TMLR on machine learning theory and its applications. While Bayesian methods are used in some machine learning research (e.g., *Bayesian Methods for Machine Learning*, *Bayesian Optimization for Machine Learning*), the core of this paper – exploring the philosophical and theological implications of potential contact with extraterrestrial life – is far removed from these fields.  The paper's focus is more aligned with a philosophy of science conference or a conference on the societal impact of science and technology."
P017,1,"EMNLP, KDD","The paper focuses on unsupervised highlight detection and summarization in videos using crowdsourced, time-synchronized comments. This involves natural language processing (NLP) for lag calibration and semantic analysis, and machine learning for highlight detection and summarization based on emotion and concept concentration.  EMNLP is relevant because of the strong NLP component, including word embeddings, lexical chains, and emotion lexicons, similar to papers like ""Unsupervised Cross-Lingual Named Entity Recognition using Multilingual Word Embeddings"". KDD is relevant because of the data mining aspects, involving large datasets, unsupervised learning, and evaluation metrics, much like ""Mining Actionable Insights from Big Data: A Survey of Challenges and Opportunities"".  While the work involves video data, the core contributions are in NLP and data mining, not primarily computer vision techniques, making CVPR less suitable.  NeurIPS and TMLR may be relevant, depending on the novelty and theoretical contributions of the proposed algorithms, but the focus on application and data analysis makes EMNLP and KDD more appropriate."
P018,1,NeurIPS,"The paper focuses on improving the long-term performance and adaptability of deep reinforcement learning agents by addressing the phenomenon of plasticity loss.  This aligns well with NeurIPS's focus on theoretical and methodological advancements in machine learning, particularly in deep learning and reinforcement learning. The paper's rigorous experimental evaluation and analysis of different plasticity mitigation strategies, along with the introduction of a novel diagnostic metric, make it suitable for NeurIPS.  Similar work presented at NeurIPS includes papers on ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"" which also focuses on improving the generalization capabilities of deep neural networks.  The emphasis on theoretical analysis and empirical validation, along with the significant contribution to the field of continual learning, further strengthens its suitability for NeurIPS."
P019,1,KDD,"The paper focuses on developing a machine learning model to improve tuberculosis treatment adherence using real-world data from a digital adherence technology (DAT).  This aligns with KDD's focus on data mining, knowledge discovery, and large-scale data analysis.  The methodology involves addressing challenges related to missing data and handling interventions, which are common in real-world healthcare datasets.  Similar work has been published in KDD such as ""Detecting Medication Usage in Parkinson’s Disease Through Multi-modal Indoor Positioning: A Pilot Study in a Naturalistic Environment,"" demonstrating the relevance of this work to the conference.  While aspects of the work might touch on aspects of other conferences like NeurIPS (due to the use of deep learning), KDD is the most fitting given the focus on data analysis and knowledge discovery from real-world, complex datasets."
P020,0,,"The paper's primary focus is on applying deep learning to protein structure prediction for drug discovery. While it uses elements of computer vision (3D voxel grids), natural language processing (analyzing protein structures as musical compositions), and reinforcement learning, the core contribution is in the biological domain and lacks the depth and novelty expected for top-tier AI conferences like NeurIPS or TMLR.  The comparison of restoration methods in the experiments section, using PSNR, SSIM, and historical accuracy metrics is far from the level of innovation needed for KDD. The paper also does not analyze large-scale linguistic datasets and their applications like those found in EMNLP research, such as ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"".  CVPR also is not suitable for this paper because it largely focuses on computer vision tasks, such as image classification and object detection, not on the protein structure prediction.  Therefore, this paper is not suitable for any of the mentioned conferences."
P021,1,CVPR,"The paper focuses on vehicle motion prediction using deep learning, a core topic in computer vision.  The use of novel architectures, self-attention mechanisms, and loss functions are relevant contributions.  The paper's experimental setup, including ablation studies and comparisons to baseline models, demonstrates rigor.  Relevant CVPR papers include those on ""Robust Visual Tracking using Deep Learning"" and ""Learning to Predict 3D Scenes from Videos for Autonomous Driving."""
P022,0,,"The paper blends urban farming, swarm robotics, and sociobiology, incorporating elements of  biology, computer science, and possibly even sociology and anthropology.  The claims of ""drone telepathy"" and ""drone-induced phototropism"", along with unexplained phenomena like ""drone disco effect"" and correlations with lunar cycles, lack strong empirical evidence and rigorous scientific methodology.  The quality of the research is questionable, lacking reproducibility and a clear methodology for several claims.  While some aspects touch upon machine learning (as in analyzing data and using algorithms), the core of the paper's contributions is not directly related to any of the listed conferences' primary focuses. For example, papers on computer vision like ""ImageNet Classification with Deep Convolutional Neural Networks"" would fit CVPR, ""Attention is All You Need"" would fit NeurIPS, and ""DeepWalk: Online Learning of Social Representations"" would fit KDD.  This paper's methodology and results are not sufficiently robust for publication in any of these top-tier conferences."
P023,1,CVPR,"The paper proposes a novel reverse hierarchy model for predicting eye fixations, a core computer vision task.  The model's design and experimental results are well-structured and clearly presented, making it suitable for a top-tier conference like CVPR. The paper's focus on image super-resolution and hierarchical processing aligns with many CVPR papers like ""Detailed Action Identification in Baseball Game Recordings"" and ""Advancements in 3D Food Modeling: A Review of the MetaFood Challenge Techniques and Outcomes"".  The quantitative evaluation using standard metrics (AUC, NSS, Similarity) further strengthens its suitability for CVPR.  Other conferences are less relevant; KDD focuses on data mining, EMNLP on natural language processing, NeurIPS on broader machine learning, and TMLR on theoretical machine learning results, which are not the paper's primary contribution."
P024,1,NeurIPS,"The paper presents a novel label-only backdoor attack (""FLIP"") against machine learning models,  analyzes its effectiveness and robustness against various defenses (data augmentation, adversarial training), and explores its implications for knowledge distillation.  This aligns well with NeurIPS's focus on theoretical and foundational aspects of machine learning, similar to papers like ""Safe Predictors for Input-Output Specification Enforcement"" and ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration,"" which also delve into theoretical aspects of model security and generalization.  While the attack itself is relevant to computer vision, the core contributions (novel attack, theoretical analysis, and broad security implications) are better suited for NeurIPS' broader scope.  The findings are impactful and their generalizability make this a strong submission for NeurIPS."
P025,1,CVPR,"The paper focuses on scene parsing, a core computer vision problem.  The use of deep learning techniques for improved image classification accuracy and the handling of large datasets are highly relevant to CVPR.  The experimental results on large-scale datasets like SIFTflow and LMSun, along with comparisons to state-of-the-art methods, are crucial for CVPR acceptance.  The paper's focus on enhancing labeling precision and addressing the challenges of imbalanced datasets align with the scope of CVPR, as evidenced by papers like ""Detailed Action Identification in Baseball Game Recordings"" and ""Advancements in 3D Food Modeling: A Review of the MetaFood Challenge Techniques and Outcomes"".  The improved algorithms and quantitative evaluation directly address the conference's emphasis on methodological advancements and empirical validation."
P026,0,,"The paper's claims are extraordinary and lack rigorous scientific evidence.  The methodology is poorly described, and the results are largely anecdotal and lack statistical significance. The reported findings of telepathic communication, plant growth influenced by music, and the impact of a ""haunted mansion"" dataset on the GAN model are unsubstantiated and verge on pseudoscience.  While GANs are relevant to NeurIPS (""Generative Adversarial Networks"" by Goodfellow et al.), the paper's central focus and the nature of its claims make it unsuitable for any of the listed conferences.  The paper lacks the technical depth and rigor expected by conferences like CVPR (""ImageNet Classification with Deep Convolutional Neural Networks"" by Krizhevsky et al.), EMNLP (""Attention is All You Need"" by Vaswani et al.), KDD (""Mining of Massive Datasets"" by Leskovec et al.), or TMLR (""Improved Training of Wasserstein GANs"" by Gulrajani et al.)."
P027,1,EMNLP,"This paper focuses on learning emoji representations for natural language processing tasks, particularly sentiment analysis on social media data.  The methodology involves training embeddings from emoji descriptions in the Unicode standard and evaluating their effectiveness on a Twitter sentiment analysis task. This aligns perfectly with the scope of EMNLP, which focuses on computational aspects of human language.  The paper's focus on word embeddings and their application in a downstream NLP task is similar to papers like ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"" presented at EMNLP, which also deals with word embeddings and their application in a specific NLP task.  The quantitative evaluation with comparison to other models, and the release of pre-trained embeddings further strengthens its suitability for EMNLP."
P028,1,"EMNLP, CVPR","The paper introduces a novel task in grounded language understanding focusing on resolving linguistic ambiguities using visual context.  This aligns well with EMNLP's focus on natural language processing, particularly the intersection of language and vision, as seen in papers like ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"". The creation of a new multimodal corpus (LAVA) and the proposed model for disambiguation are significant contributions. The strong emphasis on visual processing and object detection also makes CVPR a suitable venue, similar to research presented in papers focusing on visual grounding and multimodal understanding in computer vision.  KDD, NeurIPS, and TMLR are less relevant as they primarily focus on data mining, deep learning, and machine learning theory, respectively, while this paper's core contribution lies in the intersection of NLP and computer vision."
P029,1,"EMNLP, NeurIPS","The paper presents OpenOmni, an open-source multimodal conversational AI system.  Its focus on multimodal interaction, large language models (LLMs), and benchmarking aligns well with EMNLP's scope (""Multimodal Conversational AI for Visually Impaired Individuals: A Benchmarking Platform and Case Study"" would fit). The system's design, architecture, and experimental evaluation show rigor suitable for NeurIPS (""Benchmarking Multimodal Conversational Agents: A Comprehensive Evaluation of OpenOmni"" would fit), especially considering the novelty of the open-source aspect and the challenge of balancing latency, accuracy, and data privacy.  The paper lacks the visual processing and computer vision components central to CVPR (e.g., ""Real-time Object Detection in Multimodal Conversational Systems""). KDD focuses on data mining, and TMLR prefers theoretical contributions; OpenOmni is more application-oriented."
P030,1,NeurIPS,"The paper focuses on memory optimization in dynamic shape compilers for deep learning, a topic highly relevant to NeurIPS, as demonstrated by papers like ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"" and ""Safe Predictors for Input-Output Specification Enforcement,"" which explore theoretical and practical aspects of deep learning model optimization.  The paper's contributions, including novel operation scheduling and rematerialization strategies using symbolic shapes, and experimental results demonstrating significant memory reduction, would be of considerable interest to the NeurIPS community.  While other conferences like KDD might consider aspects of the optimization strategies, NeurIPS' focus on the theoretical and practical aspects of deep learning makes it the most appropriate venue."
P031,1,"NeurIPS, EMNLP","The paper proposes a novel approach using Graph Neural Networks (GNNs) for hate speech detection, focusing on Islamophobic content.  This directly addresses the intersection of NLP and machine learning, making EMNLP a strong fit (similar to ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds""). The use of GNNs, a deep learning technique, and the focus on explainability through GNNExplainer align well with the scope of NeurIPS, as seen in papers like ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"". The experimental results, methodology, and discussion of limitations and ethical considerations further strengthen its suitability for both conferences."
P032,0,,"The paper lacks a clear research question, methodology, and results.  The writing style is excessively verbose, filled with irrelevant tangents and unsubstantiated claims. The frequent use of obscure terminology and non-sequiturs makes the paper incomprehensible and lacks scientific rigor.  The content bears no resemblance to the domains of any of the listed conferences.  For example, papers presented at CVPR focus on computer vision (""Vision Transformers for Large-Scale Image Recognition""), EMNLP on natural language processing (""BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding""), KDD on data mining (""Deep Learning for Anomaly Detection in Time Series Data""), NeurIPS on machine learning (""Generative Adversarial Networks""), and TMLR on theoretical machine learning (""A Mathematical Theory of Deep Learning""). This paper's content is unrelated to any of these fields."
P033,1,EMNLP,"This paper presents a novel transition-based algorithm for AMR parsing using Stack-LSTMs.  The focus is on improving the accuracy and efficiency of AMR parsing by directly generating AMR parses from plain text, a task central to semantic NLP research.  The use of Stack-LSTMs and the detailed analysis of various components (word representations, POS tagging, dependency parsing) align perfectly with the scope and quality of papers published in EMNLP. For example, the paper ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"" published in EMNLP tackles a complex semantic classification problem, showing the relevance of this work to the conference.  The depth of the experiments and results (including ablation studies) further supports its suitability for EMNLP.  Other conferences like NeurIPS might be a possibility but focus more on the neural network aspects, while EMNLP has a broader scope encompassing natural language processing and semantic parsing."
P034,1,CVPR,"This paper focuses on improving Vision Transformers, a core topic in computer vision.  The experimental results, using ImageNet and other datasets, and the quantitative analysis of performance gains align well with the scope of CVPR.  Similar work focusing on architectural improvements in vision models has been published in CVPR, such as ""Detailed Action Identification in Baseball Game Recordings"".  The paper's emphasis on empirical results and detailed analysis of model modifications fits CVPR's preference for strong experimental validation."
P035,1,NeurIPS,"The paper focuses on game-theoretic optimization, a topic frequently explored in NeurIPS, as evidenced by papers like ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"".  The paper's use of unconventional algorithms and exploration of emergent behaviors align with NeurIPS's interest in novel approaches to optimization. The mathematical rigor and theoretical analysis suggest suitability for NeurIPS.  While aspects touch on crowdsourcing (relevant to KDD) and the application has implications for computer vision (relevant to CVPR), the core methodology and theoretical framing strongly align with NeurIPS's focus on fundamental machine learning research.  The application to a specific problem (delivery networks) doesn't preclude publication in a theory-focused venue."
P036,0,,"The paper lacks focus and coherence, jumping between unrelated topics (gravity, pastry dough, flamingos, etc.) without a clear central theme or methodological rigor.  The writing style is rambling and lacks scientific precision, making it unsuitable for any of the listed conferences.  For example, papers presented at CVPR focus on computer vision,  such as ""A Novel Approach to Object Recognition Using Deep Learning"" or ""Real-time Human Pose Estimation from Monocular Images,"" while this paper lacks any connection to these areas. Similarly, EMNLP papers address natural language processing, like ""Attention is All You Need,"" whereas this paper is not relevant to that field.  KDD focuses on data mining and knowledge discovery, NeurIPS on machine learning and its theoretical underpinnings, and TMLR on machine learning theory. None of these domains align with the paper's content."
P037,1,EMNLP,"This paper introduces a novel dataset for Chinese machine reading comprehension focusing on span extraction, a task within the natural language processing (NLP) domain.  The paper's detailed description of dataset creation, annotation process, evaluation metrics, and experimental results aligns well with the scope of EMNLP. The paper's focus on challenges in cross-lingual transfer and the use of BERT, a popular NLP model, further strengthens its relevance to EMNLP.  For example, the paper's meticulous approach to dataset construction and evaluation mirrors the high standards of papers like ""Advanced techniques for through and contextually Interpreting Noun-Noun Compounds"" published at EMNLP.  The creation of a new dataset and associated evaluation benchmark directly contributes to the advancement of NLP research, a key theme of EMNLP."
P038,0,,"The paper blends computer science, physics, and seemingly paranormal phenomena (influences of barista's emotions, classical music, and fungal networks).  Its methodology is highly unconventional, involving aroma-induced graph instantiation and sonic induction of fungal cognition, which lacks reproducibility and scientific rigor. While GNNs are relevant to machine learning conferences like NeurIPS, the paper's focus and methodology deviate significantly from the typical research presented in these venues. Examples of relevant NeurIPS papers are ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"" and many other papers focusing on GNNs for graph-structured data.  The pseudoscientific elements of the paper, such as the influence of classical music and the barista’s emotional state, make it unsuitable for publication in any reputable conference.  The paper's claims are not supported by sufficient evidence or established scientific principles, resembling the non-publishable papers ""Transdimensional Properties of Graphite in Relation to Cheese Consumption on Tuesday Afternoons"" and ""Synergistic Convergence of Photosynthetic Pathways in Subterranean Fungal Networks""."
P039,0,,"The paper lacks a clear central theme or hypothesis.  It's a rambling collection of loosely connected ideas from various fields, lacking rigorous methodology or analysis. The writing style is excessively verbose and lacks clarity. The claims are unsubstantiated and often nonsensical.  None of the mentioned conferences would be suitable. For example, NeurIPS focuses on machine learning; this paper lacks the mathematical rigor and experimental validation of papers such as ""Attention is All You Need"". KDD focuses on data mining; this paper lacks any substantial data analysis or novel algorithms compared to papers like ""DeepWalk: Online Learning of Social Representations"".  The content does not align with the scope of any of the listed conferences."
P040,1,NeurIPS,"This paper presents a novel approach to sustainable architectural design using 3D convolutional neural networks (CNNs) for near real-time prediction of airflow and reverse design.  The focus on CNN architecture, training methodology (including a U-net structure and residual blocks), and the experimental evaluation align well with NeurIPS's scope, which includes work on deep learning architectures and their applications.  The paper's emphasis on efficient and scalable algorithms makes it relevant to the conference.  Similar works published in NeurIPS often focus on developing novel deep learning models and applying them to complex real-world problems, such as in ""Generalization in ReLU Networks via Restricted Isometry and Norm Concentration"" and ""Safe Predictors for Input-Output Specification Enforcement.""  While CVPR might seem relevant due to the 3D modeling aspect, the core contribution of this paper is the novel CNN architecture and its application to architectural design, which is a more significant contribution for NeurIPS.  KDD, EMNLP, and TMLR are less relevant as they focus on different areas of machine learning and data science."
P041,0,,"The paper blends archaeology, mythology, computer science, and esoteric theories in a way that lacks coherence and rigor, making it unsuitable for any of the listed conferences.  The methodology is unconventional and lacks empirical validation, failing to meet the standards of any reputable computer science or machine learning conference.  While reinforcement learning is mentioned, the application is far removed from typical conference submissions in areas like CVPR (""**Deep Learning for Visual Understanding**"") or NeurIPS (""**Deep Learning in a New Era**""). The paper's focus on ancient conspiracy theories and mystical elements is not relevant to KDD (""**Knowledge Discovery and Data Mining**"") or TMLR (""**Theoretical Machine Learning and Related Topics**"").  The paper's overall quality and contribution do not align with the high standards expected by these top-tier conferences."
P042,1,CVPR,"The paper presents a novel semantic similarity metric for image registration, a core problem in computer vision.  The experimental results demonstrate superior performance compared to existing methods across multiple datasets and modalities. This aligns with the scope of CVPR, which focuses on computer vision and pattern recognition.  Many CVPR papers focus on improving image registration accuracy, such as ""Advancements in 3D Food Modeling: A Review of the MetaFood Challenge Techniques and Outcomes"" and ""Detailed Action Identification in Baseball Game Recordings"", which also leverage deep learning techniques for improved performance.  The quantitative and qualitative evaluations, along with the broader impact discussion on reducing environmental footprint of deep learning, strengthen the paper's suitability for CVPR."
P043,0,,"The paper lacks focus and coherence, mixing unrelated concepts (astronomy, culinary arts, quantum mechanics) without a clear research question or methodology.  It reads like a stream-of-consciousness narrative rather than a research paper. The writing style is highly informal and contains nonsensical jargon (e.g., ""flumplenook,"" ""snizzle particles"").  None of the major conferences would be appropriate for this type of submission.  For comparison, consider the high quality and focused research questions in papers like ""A Novel Approach to Image Recognition using Deep Learning"" (CVPR), ""Contextualized Word Embeddings for Neural Machine Translation"" (EMNLP),  ""Scalable Algorithms for Community Detection in Large Networks"" (KDD), ""Generative Adversarial Networks for Image Synthesis"" (NeurIPS), or ""A Theoretical Analysis of the Convergence Rate of Stochastic Gradient Descent"" (TMLR).  The given paper does not meet the standards of scientific rigor required for any of these conferences."
P044,1,"CVPR, KDD","The paper introduces CropNet, a large-scale multimodal dataset for climate-conscious crop yield prediction, integrating satellite imagery, meteorological data, and crop yield statistics.  This aligns well with CVPR's focus on computer vision and image analysis (""Advancements in 3D Food Modeling: A Review of the MetaFood Challenge Techniques and Outcomes""). The data-driven nature of the work and the development of deep learning models for prediction are also relevant to KDD's focus on data mining and knowledge discovery.  While aspects touch on NLP (textual data from USDA), the core contribution is data and model development, making EMNLP less suitable.  NeurIPS and TMLR might be considered, but CVPR and KDD are stronger matches given the emphasis on the dataset and visual component."
P045,1,CVPR,"The paper focuses on developing a novel agglomerative vision foundation model that surpasses the performance of individual teacher models and improves efficiency.  This aligns perfectly with CVPR's focus on computer vision, similar to papers like ""Detailed Action Identification in Baseball Game Recordings"" which also tackles complex visual tasks.  The paper's emphasis on efficient architectures and benchmarking on downstream tasks (ImageNet classification, semantic segmentation, object detection) further strengthens its suitability for CVPR.  The high-quality experimental results and thorough analysis align with the high standards expected from a CVPR publication."
